Nanoparticle,Material_Type,Band_Gap_eV,Quantum_Yield_%,Exciton_Binding_Energy_meV,Plasmon_Resonance_nm,Electron_Mobility_cm2Vs,Quantum_Confinement_Size_nm,Spin_Orbit_Coupling_meV,Surface_Area_nm2,Volume_nm3,Aspect_Ratio,Defect_Density,Temperature_K,Dielectric_Constant,HOMO_Energy_eV,LUMO_Energy_eV,Fermi_Level_eV,Work_Function_eV,Absorption_Peak_nm,Emission_Peak_nm,Stokes_Shift_meV,Radiative_Lifetime_ns,S1_S0_Transition_eV,T1_S0_Transition_eV,Singlet_Triplet_Gap_meV,Hole_Mobility_cm2Vs,Conductivity_Scm,Carrier_Concentration_cm3,Crystal_Structure,Lattice_Parameter_A,Density_gcm3,Synthesis_Temperature_K,Precursor_Concentration_M,pH,Reaction_Time_h
Gold (Au),Metal,2.666658075438323,44.99853603993885,24.850668607155555,520.0,300.0,4.0,50,50.26548245743669,33.510321638291124,1.6903626667632161,2.0048730110497135,300.0,7.608168973068012,-3.502566678399563,-3.05087560671366,-4.0190841386941365,4.332186300143718,327.60623312517134,612.8917515382511,197.40827360517196,38.917535958302366,2.250884512576153,1.846642302794115,344.7524411323069,30.0,0.0013177141265663464,5.3645594598034765e+17,Zinc Blende,4.6370727474558056,18.879949662165902,324.6798378595235,0.18354022536376394,2.537780819218201,19.100618210663903
Gold (Au),Metal,2.723445429866725,47.24853603993885,24.850668607155555,520.0,315.0,4.0,50,50.26548245743669,33.510321638291124,1.375054117913631,0.47219937329473605,315.0,9.076236315704422,-3.984008805568462,-3.4052262984367676,-4.954285815367112,5.144189604593675,496.93436196715567,357.53330509844716,130.8259307353125,46.53715994390517,2.4803095384880454,1.9039661050533494,604.6165228925422,31.5,0.001321143659447937,8.452121177854376e+17,Perovskite,6.057924681482568,5.303267430036062,326.65248778561636,0.6435027432922195,7.561521981535169,19.789804812998238
Gold (Au),Metal,2.6253282122944106,42.74853603993885,24.850668607155555,520.0,285.0,4.0,50,50.26548245743669,33.510321638291124,1.0665999160337603,1.4335329018192002,285.0,4.995921218499583,-5.63069981252131,-3.1028394924627234,-4.865210605973309,4.424411024890218,426.2793553511494,530.8090334987724,76.62449964736865,61.04729011843874,2.2521350297932017,1.9950653803967788,393.6618867060885,28.5,0.0034173520055111243,4.0809541916858816e+17,Wurtzite,6.993317575754833,13.481811811464588,640.8605173343475,0.4680329470738292,9.754651930065243,21.55955935892562
Gold (Au),Metal,2.721374798881008,44.99853603993885,29.850668607155555,520.0,300.0,5.0,50,78.53981633974483,65.44984694978736,1.3091718056141832,0.3949924100049388,300.0,5.736416156652373,-3.5506967852021547,-4.497156460703633,-4.291232315452926,3.8947671153828978,499.45762264706656,589.6797744166079,275.0405547615876,8.338760994096344,2.3196532062525175,1.9857477384233642,606.2429602911745,30.0,0.009418230273013585,2.9115158332041306e+17,FCC,6.37352043833179,19.911401318910134,791.012543926836,0.16366825299403437,6.371448805284345,10.163495666094203
Gold (Au),Metal,2.6718949670391923,47.24853603993885,29.850668607155555,520.0,315.0,5.0,50,78.53981633974483,65.44984694978736,1.4476053439121506,0.32261507280803475,315.0,3.8120719954001108,-4.559074145136275,-3.8507226839756696,-4.38905542602589,3.542017930357679,434.9469258469177,469.3147338957399,281.53726886759716,28.28701358470173,2.3990921988812155,1.8054130459198963,422.79219047988613,31.5,0.006967971126681003,5.672522767620226e+17,Wurtzite,5.285644236191099,3.1175598685164934,731.2342581404988,0.3972643336313711,10.152671791088023,23.11839125384402
Gold (Au),Metal,2.650609068029635,42.74853603993885,29.850668607155555,520.0,285.0,5.0,50,78.53981633974483,65.44984694978736,1.76621888273824,1.4503525587070285,285.0,2.2222587812554466,-4.057242287228647,-2.929294665979519,-3.836490416968319,3.9451700340361313,332.813217204854,519.4769921416245,256.8862430511364,1.5205472176085137,2.4822555297567916,1.80301917979459,355.3998482655543,28.5,0.0060967124900896,3.567205693318496e+17,BCC,4.8948109203708094,10.226965250120246,354.84317466274956,0.965946382927243,2.0312256221994565,5.8772201586512125
Gold (Au),Metal,2.494012450694055,44.99853603993885,34.850668607155555,520.0,300.0,6.0,50,113.09733552923255,113.09733552923254,0.8845627039075795,2.2909019410445497,300.0,5.735739361982484,-6.395355863113554,-3.4036131710896385,-4.015663392223277,5.328691528407822,311.63051588487343,486.8207979706043,251.59745699826556,2.890748378760614,2.53460426016728,1.9120458326044574,346.33144250676077,30.0,0.004211564354491085,6.441635980197637e+17,BCC,5.882069059174143,2.3716002661348825,576.6000607621447,0.9777015825018397,6.386592480241099,19.16878364336174
Gold (Au),Metal,2.5313125730984734,47.24853603993885,34.850668607155555,520.0,315.0,6.0,50,113.09733552923255,113.09733552923254,1.0102332952398496,2.1146022955359003,315.0,2.9937088543394736,-5.389501860887477,-3.773587623054028,-4.909383402148762,5.422787546141963,515.8240841567157,540.8291538333755,256.79588930872603,61.37089393081304,2.5970104036942403,1.904622108842541,666.9927133614369,31.5,0.0002649398368961588,3.981297355740873e+17,Zinc Blende,3.295365983973022,8.562903629067472,407.93157573716746,0.9451688177437747,5.584162975464837,11.37128614486338
Gold (Au),Metal,2.567857645950543,42.74853603993885,34.850668607155555,520.0,285.0,6.0,50,113.09733552923255,113.09733552923254,1.8177287612726785,2.127674131454713,285.0,8.662427965164635,-4.7115370674172965,-2.716155893568114,-3.6187658211518876,4.6791632506520795,502.58971909984604,356.210345110592,70.41503435776148,21.757416168505067,2.3765097105775124,1.9746431686105526,462.27664613993363,28.5,0.0011897294984726527,8.405966540108446e+16,Perovskite,5.4630279741428325,17.828331803161042,608.7022236656067,0.31847125598197457,3.525932856006458,5.646486863607722
Gold (Au),Metal,2.5661285067241377,44.99853603993885,42.350668607155555,520.0,300.0,7.5,50,176.71458676442586,220.8932334555323,1.31248247818705,1.1915599528060434,300.0,6.722320969126902,-5.073792689747541,-3.70453646220966,-4.977186085233837,4.3481688700753995,474.17873107771595,512.7295749059722,266.83759837341233,16.14528204768378,2.596440326791356,1.9649682600841827,443.2611456251659,30.0,0.004161749406757159,2.9014039654302835e+17,BCC,5.209157813991801,15.344679954213998,402.27374231238184,0.7962795637872019,6.389136135806232,23.092970592627783
